id,nop,owner_id,guardian_id,rt,rw,village,road,determination,block_number,land_area,land_area_unit,building_area,building_area_unit
59,350515000901900240,59,7,001,9,SUMBERJO,BLOK 019,85799,019.0024,1338,m2,0,m2
60,350515000901900250,60,7,001,9,SUMBERJO,DSN. KEMBANGAN,42515,019.0025,663,m2,0,m2
61,350515000901900320,61,7,001,9,SUMBERJO,BLOK 019,38219,019.0032,596,m2,0,m2
62,350515000901900330,62,7,001,9,SUMBERJO,BLOK 019,75877,019.0033,678,m2,70,m2
63,350515000902200250,63,7,001,9,SUMBERJO,BLOK 022,105615,022.0025,2347,m2,0,m2
64,350515000902300340,64,7,000,0,SUMBERJO,BLOK 023,66015,023.0034,1467,m2,0,m2
65,350515000901900680,65,7,001,9,SUMBERJO,JL. DESA BLOK 019,40403,019.0068,387,m2,0,m2
66,350515000901900710,66,7,000,0,SUMBERJO,BLOK 019,40298,019.0071,386,m2,0,m2
67,350515000901900200,67,7,001,9,SUMBERJO,BLOK 019,75308,019.0020,940,m2,64,m2
68,350515000901900220,68,7,001,9,SUMBERJO,DSN KEMBANGAN,91238,019.0022,1072,m2,60,m2
69,350515000902300560,69,7,000,0,SUMBERJO,BLOK 023,82305,023.0056,1829,m2,0,m2
70,350515000902300790,70,7,000,0,SUMBERJO,BLOK 023,75330,023.0079,1674,m2,0,m2
71,350515000901900230,71,7,001,9,SUMBERJO,BLOK 019,31244,019.0023,396,m2,30,m2
72,350515000901900120,72,7,001,9,SUMBERJO,BLOK 019,58757,019.0012,724,m2,54,m2
73,350515000901900180,73,7,001,9,SUMBERJO,JL. DESA BLOK 019,99677,019.0018,847,m2,50,m2
74,350515000901900340,74,7,001,9,SUMBERJO,JL. DESA BLOK 019,49181,019.0034,356,m2,0,m2
75,350515000901900700,75,7,000,0,SUMBERJO,BLOK 019,43535,019.0070,417,m2,0,m2
76,350515000902300380,76,7,0,0,SUMBERJO,BLOK 023,42390,023.0038,942,m2,0,m2
77,350515000901900800,77,7,1,9,SUMBERJO,JL DESA BLOK 019,91937,019.0080,747,m2,60,m2
78,350515000901700530,78,7,003,9,SUMBERJO,JL. DESA BLOK 017,276575,017.0053,2643,m2,30,m2
